                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.32089,                0.48352,                 0.2556,                0.89329,                0.99899,                      1,                  0.995,                0.95234,                0.99899,                      1,                  0.995,                  0.973,                0.29819,                0.50539,                0.20619,                0.84883,              0.0002378,              0.0002378,              0.0002378
                     91,                0.30988,                0.42277,                0.36453,                0.90377,                0.99758,                      1,                  0.995,                0.94243,                0.99758,                      1,                  0.995,                0.96021,                0.28945,                0.49446,                0.20332,                0.83831,               0.000218,               0.000218,               0.000218
                     92,                0.29175,                0.39956,                0.26605,                0.92412,                 0.9957,                      1,                  0.995,                0.95457,                 0.9957,                      1,                  0.995,                0.95256,                0.34231,                0.50132,                0.23908,                0.88182,              0.0001982,              0.0001982,              0.0001982
                     93,                0.28539,                0.36321,                0.24948,                0.90303,                 0.9952,                      1,                  0.995,                0.94089,                 0.9952,                      1,                  0.995,                0.94854,                0.35868,                0.51423,                0.24995,                0.88952,              0.0001784,              0.0001784,              0.0001784
                     94,                0.28034,                0.38422,                0.24133,                0.90957,                0.99693,                      1,                  0.995,                0.93398,                0.99693,                      1,                  0.995,                0.95148,                0.33608,                0.53978,                0.23484,                0.88167,              0.0001586,              0.0001586,              0.0001586
                     95,                0.26835,                0.42259,                0.23942,                0.87522,                0.99823,                      1,                  0.995,                0.95543,                0.99823,                      1,                  0.995,                0.95045,                0.33971,                0.55486,                0.23595,                0.89459,              0.0001388,              0.0001388,              0.0001388
                     96,                0.25014,                0.35278,                0.22645,                0.88933,                0.99949,                      1,                  0.995,                0.96665,                0.99949,                      1,                  0.995,                0.95451,                0.33086,                0.55594,                0.23288,                0.88118,               0.000119,               0.000119,               0.000119
                     97,                0.24424,                0.34848,                0.21312,                0.86542,                0.99935,                      1,                  0.995,                0.96533,                0.99935,                      1,                  0.995,                0.95999,                0.33077,                0.55249,                0.22756,                 0.8735,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.25712,                0.35821,                 0.2198,                0.86113,                0.99926,                      1,                  0.995,                0.97085,                0.99926,                      1,                  0.995,                0.95781,                0.33145,                0.54678,                0.22779,                0.86989,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.24085,                0.34704,                0.20713,                0.89201,                0.99891,                      1,                  0.995,                 0.9644,                0.99891,                      1,                  0.995,                0.95755,                0.33116,                0.53825,                0.21844,                0.86558,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.23275,                 0.3533,                0.20697,                0.87008,                0.99818,                      1,                  0.995,                0.97192,                0.99818,                      1,                  0.995,                 0.9637,                0.32393,                0.53066,                 0.2182,                0.85863,               3.98e-05,               3.98e-05,               3.98e-05
